Company Pair,Count
"('ESG', 'Inception Exploration ')",9
"('New Fortress Energy', 'Venture Global')",9
"('KPMG', 'Peyto Exploration & Development')",9
"('International Petroleum', 'Saudi Aramco')",9
"('APA', 'Callon Petroleum')",9
"('Bloomberg', 'Twitter')",9
"('Enbridge', 'ExxonMobil')",9
"('Comstock Resources', 'Southwestern Energy')",9
"('Baker Hughes', 'Weatherford')",9
"('ESG', 'Suncor')",9
"('Eagle Ford', 'Halliburton')",9
"('Chevron', 'XTO')",9
"('Enverus', 'Shell')",9
"('BP', 'Diamondback Energy')",9
"('Bloomberg', 'ESG')",9
"('Qatar Petroleum', 'Shell')",9
"('Canadian Natural Resources', 'Suncor')",9
"('Chesapeake', 'Diamondback Energy')",9
"('IHS', 'Shell')",9
"('Devon Energy', 'Halliburton')",9
"('EXPEC', 'Saudi Aramco')",9
"('FPSO', 'Keystone')",9
"('Goldman Sachs', 'Rystad Energy')",9
"('ExxonMobil', 'Goldman Sachs')",9
"('McDaniel & Associates Consultants', 'Pine Cliff')",9
"('Devon Energy', 'Marathon Oil')",9
"('Crescent Point', 'McDaniel & Associates Consultants')",9
"('Eagle Ford', 'Twitter')",9
"('Alberta Oilsands', 'Marquee Energy')",9
"('CNRL', 'Canadian Natural Resources')",9
"('BP', 'Petroleum Reserve')",9
"('CNRL', 'Whitecap')",9
"('Alliance', 'ConocoPhillips')",9
"('Novatek', 'Shell')",9
"('Marathon Petroleum Corp', 'Phillips 66')",9
"('Statoil', 'Suncor')",9
"('ESG', 'Keyera')",9
"('Enverus', 'Marathon Oil')",9
"('BG', 'ExxonMobil')",8
"('Alliance', 'UN')",8
"('ConocoPhillips', 'Twitter')",8
"('Chevron', 'Goldman Sachs')",8
"('Black & Veatch', 'Pembina')",8
"('ESG', 'SLB')",8
"('Bloomberg', 'TotalEnergies')",8
"('Pipestone Energy', 'Riverstone')",8
"('Continental', 'Diamondback Energy')",8
"('Alliance', 'Woodside')",8
"('Baker Hughes', 'Repsol')",8
"('Keystone', 'McDaniel & Associates Consultants')",8
"('Halliburton', 'NOV')",8
"('Baker Hughes', 'NOV')",8
"('Chevron', 'Suncor')",8
"('ESG', 'Equinor')",8
"('American Petroleum Institute', 'Rystad Energy')",8
"('BP', 'Concho Resources')",8
"('ExxonMobil', 'Talos Energy')",8
"('Alliance', 'Crocotta Energy')",8
"('Aker BP', 'Shell')",8
"('FPSO', 'Saipem')",8
"('GE', 'SLB')",8
"('ADNOC', 'Equinor')",8
"('Canbriam', 'Twitter')",8
"('Baker Hughes', 'Southwestern Energy')",8
"('Shell', 'Siemens')",8
"('Bloomberg', 'Equinor')",8
"('Occidental', 'Weatherford')",8
"('ADIPEC', 'ADNOC')",8
"('Continental', 'Eastern')",8
"('Cameron', 'Pembina')",8
"('Harbour Energy', 'Shell')",8
"('Dakota Access Pipeline', 'Enbridge')",8
"('Generations Energy', 'Pembina')",8
"('Athabasca Oil Corporation', 'Keyera')",8
"('Alberta Energy Regulator', 'Southern Pacific')",8
"('Continental', 'TotalEnergies')",8
"('Chevron', 'NOV')",8
"('Shell', 'YPF')",8
"('Stabroek', 'TotalEnergies')",8
"('Halliburton', 'National Oilwell Varco')",8
"('PBF Energy', 'Valero Energy')",8
"('Ecopetrol', 'ExxonMobil')",8
"('Canadian Natural Resources', 'Keystone')",8
"('Eastern', 'Repsol')",8
"('Shell', 'Transocean')",8
"('Gazprom', 'Mitsubishi')",8
"('Chesapeake', 'Venture Global')",8
"('Continental', 'SLB')",8
"('Chinook Energy', 'McDaniel & Associates Consultants')",8
"('Black & Veatch', 'Samsung')",8
"('Devon Energy', 'MPLX')",8
"('Carbon Engineering', 'Occidental')",8
"('Pengrowth Energy Corporation', 'Sable Offshore')",8
"('Eastern', 'TotalEnergies')",8
"('Enverus', 'Permian Resources')",8
"('Energy Transfer Partners', 'Twitter')",8
"('Continental', 'OMV')",8
"('Chesapeake', 'ConocoPhillips')",8
"('CNOOC', 'CNPC')",8
"('American Petroleum Institute', 'Eastern')",8
"('Eagle Ford', 'Murphy Oil')",8
"('Crescent Point', 'Saturn')",8
"('Apache', 'Enverus')",8
"('Chevron', 'Pemex')",8
"('Baker Hughes', 'TotalEnergies')",8
"('Diamondback Energy', 'ExxonMobil')",8
"('Cenovus', 'MEG Energy')",8
"('Eastern', 'Saudi Aramco')",8
"('American Petroleum Institute', 'Chevron')",8
"('Alliance', 'Cequence Energy')",8
"('Arriva Energy', 'Petrus Resources')",8
"('Freeport LNG', 'Gazprom')",8
"('Alberta Energy Regulator', 'Apache')",8
"('Cameron', 'SLB')",8
"('China National Offshore Oil ', 'Shell')",8
"('Equinor', 'Idemitsu')",8
"('American Petroleum Institute', 'ExxonMobil')",8
"('PBF Energy', 'Phillips 66')",8
"('Chesapeake', 'Devon Energy')",8
"('Enverus', 'Matador Resources')",8
"('Cenovus', 'Eagle Ford')",8
"('Baker Hughes', 'Comstock Resources')",8
"('China National Petroleum', 'ExxonMobil')",8
"('Equinor', 'ONGC')",8
"('Eagle Energy', 'UN')",8
"('Devon Energy', 'Saudi Aramco')",8
"('Occidental', 'TotalEnergies')",8
"('Equinor', 'Talos Energy')",8
"('BP', 'Saturn')",8
"('Chesapeake', 'Continental')",8
